division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_39,2,-3,39,3,3,3,2,2,3,3,3,3,2,3,3,3,3
Match,Player_17,3,3,45,3,3,3,3,5,3,4,3,3,2,3,3,4,3
Match,Player_2,2,4,46,4,4,3,3,3,3,3,3,3,3,3,4,4,3
Match,Player_22,1,4,46,3,3,3,2,4,4,5,3,3,3,3,5,3,2
Match,Player_11,1,7,49,4,3,2,4,4,4,4,3,4,4,3,3,3,4
Match,Player_27,1,7,49,5,5,3,3,4,4,3,3,4,2,3,4,3,3
Match,Player_10,3,10,52,4,3,4,4,5,3,3,3,5,3,3,5,3,4
Match,Player_5,3,13,55,5,4,4,4,3,4,3,4,4,3,3,5,5,4
Match,Player_36,2,19,61,7,4,3,5,6,5,4,4,4,4,5,4,3,3
