division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_38,4,-2,40,3,3,3,2,4,2,3,3,3,2,2,3,4,3
25seas,Player_6,4,0,42,5,3,3,4,2,3,4,2,3,2,4,3,2,2
25seas,Player_22,5,0,42,2,3,2,4,4,4,3,3,3,3,3,3,3,2
25seas,Player_2,5,0,42,4,3,3,3,4,3,2,3,2,2,3,3,4,3
25seas,Player_4,3,0,42,3,3,2,3,4,3,3,3,3,2,2,3,5,3
25seas,Player_19,1,10,52,4,4,5,4,4,4,4,3,3,3,3,4,3,4
25seas,Player_9,5,0,42,2,3,3,3,2,3,4,3,3,3,3,3,3,4
25seas,Player_34,4,4,46,3,3,3,4,3,4,3,3,3,3,4,4,4,2
25seas,Player_17,3,-1,41,4,2,2,2,3,3,3,3,4,2,3,4,3,3
25seas,Player_28,3,10,52,3,2,3,3,4,4,3,4,4,4,4,5,4,5
25seas,Player_31,2,-1,41,3,2,2,3,3,3,2,2,5,3,3,4,3,3
25seas,Player_20,1,6,48,4,4,4,3,5,3,2,3,3,3,3,4,4,3
25seas,Player_11,2,3,45,3,4,3,2,4,3,3,3,3,3,4,3,4,3
25seas,Player_5,2,13,55,3,4,3,5,5,3,4,3,4,3,4,6,4,4
25seas,Player_7,1,12,54,5,3,4,5,4,4,3,4,4,4,4,4,3,3
