division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_11,1,-3,39,3,3,3,3,5,3,2,2,2,2,2,3,3,3
25seas,Player_31,2,-3,39,3,4,2,4,3,3,2,2,4,2,3,3,2,2
25seas,Player_17,1,0,42,3,3,3,2,3,3,5,3,2,3,3,3,4,2
25seas,Player_9,1,2,44,3,3,4,3,3,4,3,2,4,3,4,3,2,3
25seas,Player_2,2,4,46,3,4,3,5,4,3,3,2,3,4,2,3,4,3
25seas,Player_5,3,9,51,4,4,3,3,4,3,3,3,4,3,4,5,4,4
25seas,Player_4,3,4,46,3,4,3,3,4,3,3,3,3,3,3,4,3,4
25seas,Player_20,2,6,48,5,3,2,2,3,5,2,4,3,3,3,5,4,4
25seas,Player_6,3,8,50,4,4,3,5,3,4,3,3,3,3,5,3,3,4
