division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_9,1,-2,40,3,3,3,3,4,3,2,3.0,2.0,4.0,2,3,2,3
25seas,Player_40,3,0,42,3,4,3,3,3,3,3,4.0,2.0,3.0,3,3,2,3
25seas,Player_31,6,-1,41,4,3,3,3,3,3,3,2.0,3.0,2.0,3,3,3,3
25seas,Player_4,4,-1,41,3,4,2,3,3,3,3,2.0,3.0,2.0,3,4,4,2
25seas,Player_11,4,0,42,4,3,3,2,3,4,4,2.0,3.0,2.0,3,3,2,4
25seas,Player_13,6,2,44,3,3,2,3,4,4,3,3.0,3.0,2.0,4,4,3,3
25seas,Player_41,5,2,44,3,3,3,4,4,3,3,4.0,2.0,3.0,3,3,2,4
25seas,Player_2,1,4,46,3,3,3,2,4,4,4,4.0,3.0,3.0,4,4,3,2
25seas,Player_20,1,4,46,3,5,2,3,4,4,3,4.0,3.0,4.0,3,3,2,3
25seas,Player_15,2,1,43,4,4,2,3,4,3,3,2.0,3.0,3.0,4,2,3,3
25seas,Player_34,2,5,47,4,3,3,4,3,4,3,3.0,4.0,3.0,3,4,3,3
25seas,Player_25,6,6,48,4,4,3,3,4,3,4,3.0,3.0,3.0,3,4,4,3
25seas,Player_5,3,11,53,5,4,3,3,3,4,3,4.0,4.0,3.0,4,5,4,4
25seas,Player_17,4,4,46,3,3,3,3,4,4,2,3.0,3.0,4.0,3,5,3,3
25seas,Player_38,5,5,47,4,3,3,3,3,6,3,4.0,3.0,3.0,3,3,3,3
25seas,Player_19,2,17,59,4,5,4,5,5,5,3,4.0,3.0,4.0,4,5,5,3
25seas,Player_6,3,3,45,4,3,2,3,3,4,2,4.0,4.0,3.0,4,3,2,4
25seas,Player_26,5,19,52,4,5,4,6,7,4,3,,,,5,5,6,3
