division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_9,2,-2,40,3,3,2,2,5,3,4,3,3,3,2,3,2,2
25seas,Player_6,1,-1,41,4,3,2,3,3,3,4,2,3,3,3,3,3,2
25seas,Player_40,1,0,42,2,4,3,3,4,3,2,3,3,3,3,4,3,2
25seas,Player_5,3,10,52,4,3,4,4,5,4,3,3,4,3,3,3,6,3
25seas,Player_32,3,-2,40,3,4,3,3,3,3,2,2,3,2,3,4,2,3
25seas,Player_4,1,3,45,3,3,3,5,4,3,4,3,3,2,3,3,4,2
25seas,Player_11,2,4,46,3,3,3,3,4,4,3,3,4,2,4,3,3,4
25seas,Player_13,3,4,46,4,4,4,3,2,3,3,3,3,4,4,3,3,3
25seas,Player_28,2,13,55,6,5,3,5,4,5,3,3,3,3,4,4,4,3
25seas,Player_17,3,3,45,3,4,3,3,3,4,4,3,5,2,3,3,2,3
25seas,Player_2,2,5,47,3,3,3,3,4,3,4,3,4,3,5,3,3,3
