division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_17,3,-5,37,3,3,2,3,4,2,2,2,2,2,2,3,4,3
25seas,Player_4,2,0,42,3,3,3,3,4,3,2,3,4,2,3,3,3,3
25seas,Player_2,2,2,44,3,3,3,3,3,3,3,4,3,3,3,4,3,3
25seas,Player_11,2,0,42,4,3,3,3,3,2,3,3,5,3,2,3,2,3
25seas,Player_6,1,4,46,3,3,3,4,5,4,3,3,4,3,3,3,2,3
25seas,Player_31,1,-1,41,2,4,2,3,2,3,3,2,5,2,3,4,3,3
25seas,Player_38,3,3,45,3,4,4,3,4,3,4,3,3,2,3,4,3,2
25seas,Player_25,3,7,49,4,4,3,3,4,4,4,4,3,3,3,4,3,3
25seas,Player_28,1,13,55,5,4,3,3,6,4,4,3,4,2,4,5,5,3
25seas,Player_37,3,2,44,3,4,3,3,4,5,2,3,2,2,3,4,3,3
