division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_11,3,-3,39,3,3,2,3,4,3,3,3,2,2,4,2,3,2
25seas,Player_39,4,0,42,4,3,2,3,3,3,3,2,4,3,4,3,3,2
25seas,Player_6,4,0,42,5,2,3,3,3,3,3,2,3,3,3,3,2,4
25seas,Player_9,1,0,42,3,5,2,3,2,3,3,3,3,3,3,3,3,3
25seas,Player_4,3,1,43,3,3,2,5,3,3,3,3,3,2,3,4,3,3
25seas,Player_20,3,1,43,3,4,3,3,3,3,2,2,4,3,3,4,3,3
25seas,Player_10,1,7,49,4,4,3,3,5,3,3,2,4,2,4,5,4,3
25seas,Player_13,4,1,43,3,3,2,3,3,4,3,3,4,3,3,4,3,2
25seas,Player_24,2,6,48,3,3,4,5,4,4,3,3,4,2,3,4,3,3
25seas,Player_12,1,13,55,3,5,3,5,6,4,4,3,4,3,3,4,4,4
25seas,Player_17,2,1,43,2,2,4,2,4,4,4,2,4,3,3,3,3,3
25seas,Player_5,4,15,57,5,5,4,3,5,4,4,4,4,3,3,4,5,4
25seas,Player_32,2,5,47,5,3,3,4,3,4,2,4,2,3,3,4,4,3
