division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_31,1,-2,40,3,3,4,2,5,3,2,2,2,3,3,2,3,3
25seas,Player_11,3,-1,41,3,3,2,3,3,3,3,3,3,3,3,3,3,3
25seas,Player_20,2,4,46,4,4,3,2,5,3,5,2,3,3,3,3,3,3
25seas,Player_25,3,6,48,3,3,4,3,4,4,3,3,4,4,3,4,3,3
25seas,Player_29,3,11,53,4,4,4,5,5,5,2,3,3,4,4,4,3,3
25seas,Player_13,2,1,43,3,3,3,4,4,3,4,3,3,2,2,4,3,2
25seas,Player_5,2,11,53,5,3,4,4,5,4,3,4,3,3,3,4,4,4
25seas,Player_4,3,2,44,5,3,3,3,4,3,3,2,3,2,4,3,3,3
25seas,Player_2,1,5,47,3,4,3,3,4,4,3,2,3,3,4,4,3,4
25seas,Player_17,1,5,47,5,5,4,4,5,5,2,3,2,2,3,3,2,2
25seas,Player_9,2,8,50,5,3,2,3,5,3,3,3,4,4,4,4,3,4
25seas,Player_21,1,3,45,5,4,3,4,3,2,2,2,4,3,4,4,3,2
