division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_31,4,-4,38,3,3,3,4,3,3,3,2,2,2,2,3,2,3
25seas,Player_17,4,-4,38,4,3,3,3,2,3,3,2,2,3,2,3,3,2
25seas,Player_22,1,1,43,3,3,3,3,3,3,3,3,3,3,3,3,4,3
25seas,Player_4,2,1,43,4,4,3,2,3,3,4,3,3,3,3,3,2,3
25seas,Player_13,2,1,43,5,3,2,3,2,3,3,3,3,3,3,3,3,4
25seas,Player_20,3,1,43,4,4,3,3,3,3,2,2,3,3,2,5,3,3
25seas,Player_5,1,9,51,4,5,4,4,4,3,4,3,3,3,2,4,4,4
25seas,Player_2,4,0,42,3,3,3,3,4,3,3,3,3,2,3,3,3,3
25seas,Player_6,1,2,44,4,3,3,2,4,4,4,3,2,3,3,3,4,2
25seas,Player_9,3,3,45,3,3,2,2,3,3,3,3,5,3,4,3,4,4
25seas,Player_19,3,14,56,4,5,5,5,5,3,4,2,4,2,5,4,5,3
25seas,Player_11,2,4,46,3,3,4,3,3,3,4,3,4,3,3,4,2,4
25seas,Player_24,2,9,51,4,5,3,3,4,3,3,3,4,4,3,4,4,4
