division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_39,1,-1,41,4,3,3,2,2,3,3,3,2,3,3,3,3,4
25seas,Player_11,1,0,42,3,2,3,4,3,4,2,2,3,4,3,2,3,4
25seas,Player_4,2,0,42,4,3,2,3,2,3,4,3,3,2,4,3,3,3
25seas,Player_15,1,1,43,3,4,4,3,3,3,3,3,2,2,3,4,3,3
25seas,Player_2,2,2,44,3,3,3,4,3,2,3,3,3,3,4,4,3,3
25seas,Player_17,1,2,44,3,3,3,4,4,3,4,3,2,3,4,3,2,3
25seas,Player_34,3,2,44,4,4,2,3,4,4,3,3,3,2,4,3,2,3
25seas,Player_41,3,2,44,4,3,3,3,3,3,2,3,3,4,3,4,4,2
25seas,Player_9,2,3,45,3,3,3,3,4,4,4,3,3,3,3,3,3,3
25seas,Player_5,3,12,54,4,4,4,3,5,3,7,3,3,3,3,4,4,4
25seas,Player_20,2,12,54,4,7,3,5,4,3,3,2,5,5,5,3,3,2
