division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_24,4,3,45,4,3,2,4,5,3,3,3,3,3,3,4,3,2
25seas,Player_19,4,9,51,4,4,3,4,4,3,3,4,4,3,4,3,5,3
25seas,Player_4,3,1,43,5,3,3,3,2,3,3,2,4,2,3,3,5,2
25seas,Player_17,1,-3,39,3,3,3,3,3,2,3,2,2,3,3,3,3,3
25seas,Player_10,4,8,50,3,3,4,5,4,2,4,2,3,3,5,3,5,4
25seas,Player_12,2,12,54,3,6,4,3,6,4,4,4,3,3,5,3,3,3
25seas,Player_31,1,-1,41,3,4,3,2,2,3,2,4,2,2,2,4,4,4
25seas,Player_39,3,3,45,3,4,3,2,2,4,4,4,2,3,3,4,3,4
25seas,Player_2,2,3,45,4,4,2,3,4,4,3,4,4,2,2,3,3,3
25seas,Player_6,2,3,45,3,3,3,4,4,2,3,2,5,3,3,4,3,3
25seas,Player_40,3,4,46,4,3,3,4,3,3,3,2,3,4,4,4,4,2
25seas,Player_11,2,4,46,2,3,2,3,3,5,4,2,5,4,4,3,3,3
25seas,Player_28,3,16,58,4,4,3,6,4,6,3,4,4,4,4,5,3,4
25seas,Player_20,4,9,51,4,3,4,5,3,4,4,3,3,2,2,4,6,4
25seas,Player_5,1,19,61,5,5,3,4,4,4,5,5,5,3,4,6,4,4
