division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_32,2,-5,37,3,3,3,2,3,2,2,2,2,3,3,3,3,3
25seas,Player_9,4,-3,39,2,3,2,3,3,3,3,3,3,2,3,3,3,3
25seas,Player_11,3,-3,39,2,3,3,3,3,2,3,3,2,3,5,2,3,2
25seas,Player_4,1,0,42,3,3,2,4,5,2,3,2,4,2,3,3,4,2
25seas,Player_28,3,9,51,4,4,4,4,3,4,6,3,3,3,5,3,3,2
25seas,Player_19,3,11,53,5,6,4,3,3,3,4,4,3,3,3,4,4,4
25seas,Player_2,2,0,42,3,4,3,2,4,3,3,3,3,2,2,3,3,4
25seas,Player_6,4,2,44,4,3,3,4,3,3,3,3,4,2,4,3,3,2
25seas,Player_5,4,13,55,4,4,3,5,4,4,3,3,4,3,4,5,5,4
25seas,Player_22,4,5,47,5,3,2,3,3,3,4,3,5,2,4,4,4,2
25seas,Player_17,1,1,43,4,4,3,2,2,3,4,3,2,4,3,3,3,3
25seas,Player_8,2,27,69,7,5,4,5,5,5,4,4,7,3,5,5,6,4
