division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_2,2,-1,41,3,3,2,3,4,3,3,2,4,4,2,3,3,2
25seas,Player_17,2,-3,39,4,3,2,3,2,5,2,2,3,3,2,3,2,3
25seas,Player_31,2,-3,39,3,3,3,3,4,3,3,2,4,2,2,2,2,3
25seas,Player_13,1,1,43,3,3,3,3,4,3,3,4,3,2,3,4,3,2
25seas,Player_6,1,2,44,4,4,3,2,3,3,2,4,4,1,4,5,2,3
25seas,Player_38,2,4,46,4,3,2,4,4,3,3,4,3,2,3,5,3,3
25seas,Player_19,1,16,58,6,4,3,4,6,3,3,3,5,3,4,4,5,5
25seas,Player_20,1,8,50,4,4,3,4,4,3,4,4,3,3,4,3,4,3
