division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_13,2,2,44,3,3,2,3,5,3,2,2,3,3,3,4,3,5
Match,Player_17,2,2,44,2,5,2,3,3,4,3,2,3,3,4,4,2,4
Match,Player_39,1,4,46,3,4,3,4,4,4,3,2,4,3,3,3,3,3
Match,Player_2,1,4,46,4,4,4,3,4,3,3,3,4,3,2,3,3,3
Match,Player_11,2,6,48,3,3,3,6,5,3,2,3,3,3,2,4,5,3
Match,Player_9,1,7,49,3,4,3,4,6,3,2,3,4,3,5,3,3,3
Match,Player_20,1,8,50,3,4,3,4,4,3,4,3,4,3,3,5,4,3
