division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_22,1,0,42,2,3,2,4,4,2,4,2,3,2,4,4,3,3
25seas,Player_11,3,-2,40,3,2,3,3,3,3,2,3,4,3,2,2,3,4
25seas,Player_5,4,9,51,4,3,3,4,4,4,3,4,4,3,3,4,4,4
25seas,Player_17,4,-1,41,3,3,2,4,4,4,2,3,3,2,2,3,3,3
25seas,Player_6,3,0,42,3,3,2,2,4,3,3,2,3,4,3,4,3,3
25seas,Player_19,2,10,52,5,4,2,4,4,5,3,4,4,4,3,3,4,3
25seas,Player_32,2,-1,41,3,3,3,3,3,3,2,2,4,3,3,3,3,3
25seas,Player_4,3,1,43,3,3,3,3,4,2,3,3,3,4,3,4,2,3
25seas,Player_9,2,2,44,4,2,3,3,5,3,2,2,3,3,2,4,5,3
25seas,Player_2,4,4,46,3,4,3,3,4,4,2,2,3,3,3,5,3,4
25seas,Player_24,1,7,49,4,4,3,4,4,3,3,4,3,2,3,5,4,3
25seas,Player_28,1,13,55,4,8,3,5,5,4,3,3,3,3,3,4,4,3
