division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_39,4.0,-3,39,3,3,2,3,3,3,3,3,2,2,3,3,3,3
25seas,Player_9,4.0,0,42,3,5,3,3,3,3,3,3,3,3,3,3,2,2
25seas,Player_20,3.0,3,45,4,4,3,3,5,4,2,2,3,3,3,3,3,3
25seas,Player_5,1.0,7,49,4,4,2,3,4,4,3,4,3,2,4,4,4,4
25seas,Player_11,,0,42,3,4,2,2,4,3,3,2,3,3,3,3,4,3
25seas,Player_2,1.0,4,46,4,4,3,3,3,4,4,3,3,3,2,3,4,3
25seas,Player_31,3.0,2,44,5,4,2,3,2,3,2,3,2,3,3,5,3,4
25seas,Player_6,1.0,4,46,4,3,2,2,5,4,4,3,4,2,4,4,2,3
25seas,Player_19,2.0,14,56,4,5,4,4,6,4,3,3,3,4,3,6,4,3
25seas,Player_25,3.0,8,50,3,5,3,4,5,3,3,2,5,3,4,4,3,3
25seas,Player_17,1.0,5,47,5,5,3,4,3,3,4,3,2,3,3,3,3,3
25seas,Player_4,2.0,4,46,4,3,2,3,5,3,4,3,3,3,4,3,3,3
25seas,Player_13,2.0,5,47,4,3,3,3,3,3,3,3,3,3,6,4,3,3
25seas,Player_34,2.0,10,52,6,5,3,3,5,4,4,3,4,3,3,3,3,3
