division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_4,1,-1,41,4,3,2,2,3,4,2,3,4,2,3,4,3,2
25seas,Player_13,1,-1,41,3,3,3,3,4,3,3,3,3,2,2,4,3,2
25seas,Player_41,2,0,42,3,3,2,4,3,3,3,3,2,2,2,5,3,4
25seas,Player_5,2,9,51,4,5,3,4,4,3,3,3,5,3,3,4,4,3
25seas,Player_29,3,11,53,4,4,3,5,5,5,4,3,3,2,4,4,4,3
25seas,Player_17,2,3,45,3,3,2,4,3,3,5,3,3,3,3,4,4,2
25seas,Player_34,3,5,47,3,4,4,4,4,3,2,4,3,3,4,3,3,3
25seas,Player_2,3,6,48,4,3,3,4,5,3,4,3,3,3,3,3,3,4
25seas,Player_11,3,7,49,3,3,3,3,5,3,2,4,4,3,4,4,5,3
25seas,Player_19,1,15,57,4,4,4,3,4,6,5,4,3,3,4,5,5,3
25seas,Player_30,1,2,44,4,4,2,2,3,5,3,2,3,3,3,4,3,3
