division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_25,2,0,42,4,3,4,3,3,3,3,2,2,3,3,3,3,3
25seas,Player_17,1,-2,40,4,4,2,4,3,2,2,3,3,3,3,3,2,2
25seas,Player_20,2,0,42,3,3,4,3,4,3,3,2,4,2,3,3,3,2
25seas,Player_31,3,-1,41,3,3,2,2,5,3,2,3,3,3,2,4,3,3
25seas,Player_13,2,0,42,3,4,2,3,3,3,2,3,2,3,3,3,4,4
25seas,Player_2,3,2,44,4,3,3,3,4,4,2,3,3,3,2,3,4,3
25seas,Player_5,1,7,49,4,5,3,4,3,3,3,4,3,3,3,4,4,3
25seas,Player_9,2,2,44,4,3,2,2,3,4,4,2,4,3,3,4,3,3
25seas,Player_29,3,15,57,6,5,2,5,5,4,3,3,4,3,5,4,4,4
25seas,Player_6,1,7,49,2,4,3,3,6,3,3,2,6,3,4,4,3,3
