division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_12,2,8,50,3,4,4,4,4,3,3,4,3,3,4,4,3,4
25seas,Player_20,3,-1,41,3,5,2,2,5,3,2,3,3,2,2,3,3,3
25seas,Player_28,1,6,48,3,4,3,3,4,4,2,5,3,2,3,4,4,4
25seas,Player_6,4,-1,41,3,3,3,4,3,3,4,2,3,3,3,2,2,3
25seas,Player_24,1,3,45,4,4,3,3,4,3,3,3,3,2,3,4,3,3
25seas,Player_19,3,11,53,3,4,4,3,4,3,5,4,4,4,3,4,3,5
25seas,Player_31,2,-1,41,4,3,3,2,3,3,2,2,3,3,3,3,3,4
25seas,Player_5,1,10,52,4,5,4,3,4,5,3,3,3,3,3,6,3,3
25seas,Player_9,3,2,44,4,5,3,3,4,3,2,2,3,3,3,3,3,3
25seas,Player_4,4,3,45,2,3,4,4,3,3,2,2,3,3,4,3,5,4
25seas,Player_39,1,3,45,3,5,5,2,3,3,3,4,3,3,3,3,2,3
25seas,Player_11,2,1,43,4,3,5,4,4,3,2,2,3,2,2,3,3,3
25seas,Player_2,4,2,44,3,5,2,2,4,2,3,4,3,3,3,4,3,3
