division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_11,3,-2,40,3,3,2,3,4,3,3,3,3,2,4,3,2,2
25seas,Player_31,1,-1,41,2,3,3,4,5,3,2,3,3,3,3,3,2,2
25seas,Player_17,2,2,44,3,3,3,4,4,3,3,3,4,2,2,4,3,3
25seas,Player_38,3,4,46,4,4,3,3,3,3,3,4,5,2,3,4,2,3
25seas,Player_25,3,7,49,4,5,4,3,3,3,3,3,4,3,4,4,3,3
25seas,Player_9,2,3,45,3,3,2,3,4,5,3,3,3,3,3,4,3,3
25seas,Player_6,1,6,48,3,2,3,3,4,6,3,3,4,2,3,4,4,4
25seas,Player_5,1,11,53,5,4,3,4,4,4,4,3,5,3,3,4,3,4
25seas,Player_4,1,5,47,4,4,4,4,3,4,2,3,3,3,3,3,4,3
25seas,Player_39,2,3,45,3,3,3,2,3,3,3,3,5,3,2,5,3,4
25seas,Player_2,2,8,50,4,4,4,3,5,4,2,3,5,2,3,5,3,3
