division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_39,3,-4,38,3,3,2,2,3,3,3,3,2,3,2,3,3,3
Match,Player_15,4,-2,40,3,3,2,3,4,2,4,3,3,2,3,3,2,3
Match,Player_2,2,1,43,3,4,2,3,3,3,3,3,3,3,3,4,3,3
Match,Player_17,3,1,43,3,3,3,2,5,4,2,3,4,3,2,3,3,3
Match,Player_4,1,2,44,3,5,3,4,4,3,3,2,3,2,3,3,3,3
Match,Player_9,1,3,45,3,4,3,3,3,3,3,3,3,3,5,3,3,3
Match,Player_11,3,6,48,3,3,3,3,4,3,4,4,5,3,3,4,3,3
Match,Player_25,2,6,48,4,3,2,3,5,4,4,3,4,3,3,3,5,2
Match,Player_20,4,7,49,4,3,2,5,4,3,4,4,3,3,3,4,3,4
Match,Player_22,3,7,49,4,4,3,4,3,4,3,2,4,2,3,3,4,6
Match,Player_13,4,9,51,3,4,2,3,4,4,5,4,4,3,5,3,4,3
Match,Player_5,2,12,54,4,4,3,5,4,4,4,3,4,3,3,6,4,3
Match,Player_36,1,16,58,6,5,4,5,5,3,5,3,4,3,3,4,4,4
