division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_6,1,-3,39,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3,2,4.0,3.0,3.0,2.0
25seas,Player_17,1,-3,39,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4,3,2.0,3.0,2.0,4.0
25seas,Player_15,3,-4,38,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2,2,2.0,3.0,2.0,3.0
25seas,Player_38,2,1,43,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3,2,4.0,3.0,3.0,2.0
25seas,Player_2,2,2,44,6.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4,2,2.0,4.0,4.0,3.0
25seas,Player_39,3,-3,39,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3,3,4.0,3.0,2.0,2.0
25seas,Player_5,2,8,50,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3,4,3.0,3.0,5.0,3.0
25seas,Player_19,1,12,54,6.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,5,3,5.0,4.0,3.0,3.0
25seas,Player_4,4,1,43,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3,2,4.0,3.0,4.0,2.0
25seas,Player_13,4,2,44,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4,4,2.0,4.0,4.0,2.0
25seas,Player_29,1,11,53,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4,4,4.0,4.0,4.0,4.0
25seas,Player_9,2,2,44,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,5.0,3.0,3.0,3.0
25seas,Player_20,3,5,47,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3,3,3.0,3.0,4.0,3.0
25seas,Player_22,4,8,50,5.0,3.0,3.0,6.0,3.0,3.0,4.0,3.0,3,3,5.0,4.0,3.0,2.0
25seas,Player_41,1,7,49,4.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,4,2,4.0,3.0,4.0,2.0
25seas,Player_23,4,-2,40,7.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3,2,3.0,2.0,2.0,2.0
25seas,Player_11,3,-1,5,,,,,,,,,3,2,,,,
