division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_6,1,-3,39,3,3,2,3,3,3,2,2,3,3,4,3,3,2
25seas,Player_11,2,-2,40,3,3,2,2,4,4,3,2,3,3,3,2,2,4
25seas,Player_9,1,0,42,3,4,2,3,3,3,2,3,3,3,4,4,3,2
25seas,Player_7,2,8,50,4,4,4,4,2,3,5,3,4,3,5,3,4,2
25seas,Player_15,2,0,42,3,4,3,2,3,3,2,3,4,2,3,4,3,3
25seas,Player_2,2,1,43,4,4,3,3,4,2,3,2,4,3,2,3,3,3
25seas,Player_4,3,2,44,3,4,3,4,3,4,3,2,2,3,4,3,3,3
25seas,Player_34,3,7,49,4,4,3,3,3,3,3,3,3,2,6,4,4,4
25seas,Player_31,3,1,43,3,3,3,4,3,3,4,2,3,2,3,3,3,4
25seas,Player_28,1,15,57,3,4,4,4,7,5,4,3,5,4,3,4,4,3
25seas,Player_17,3,3,45,3,4,2,3,3,3,4,3,3,3,4,4,3,3
25seas,Player_38,1,8,50,3,3,2,5,6,4,4,4,5,2,3,3,4,2
