division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_29,3,7,49,3,4,2,3,4,5,4,4,3,2,3,4,3,5
25seas,Player_6,2,0,42,4,3,1,3,4,4,3,2,4,2,3,3,3,3
25seas,Player_17,3,-2,40,3,3,2,2,4,4,2,3,3,3,3,3,2,3
25seas,Player_20,1,3,45,3,3,3,3,5,3,2,3,4,3,3,3,4,3
25seas,Player_31,4,-1,41,3,3,2,3,4,3,2,3,4,2,3,3,3,3
25seas,Player_9,1,1,43,3,4,2,4,2,3,3,3,3,3,4,3,3,3
25seas,Player_4,3,2,44,3,3,2,3,4,4,2,2,3,3,3,4,4,4
25seas,Player_13,2,2,44,3,3,4,3,6,3,3,3,3,2,3,4,2,2
25seas,Player_41,4,3,45,3,4,2,5,3,4,3,2,4,2,3,3,4,3
25seas,Player_2,4,5,47,4,4,3,3,4,4,3,3,3,3,3,4,3,3
25seas,Player_21,4,9,51,4,4,3,4,4,4,4,4,3,3,4,4,3,3
25seas,Player_11,3,2,44,3,3,2,4,3,3,2,3,3,3,3,4,4,4
25seas,Player_15,1,3,45,3,3,4,3,4,5,2,3,3,3,3,4,2,3
25seas,Player_5,2,12,54,4,3,4,4,5,4,3,3,4,4,4,4,4,4
25seas,Player_8,2,12,54,6,3,3,3,5,5,4,4,4,3,4,4,3,3
