division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_32,2,-5,37,3,3,2,3,4,3,3,3,2,1,2,3,3,2
25seas,Player_6,3,-1,41,4,3,2,4,3,3,3,2,3,3,2,3,3,3
25seas,Player_5,1,10,52,4,5,3,3,3,4,3,3,3,3,3,5,6,4
25seas,Player_11,2,0,42,3,4,3,2,4,2,2,3,2,3,3,4,3,4
25seas,Player_24,3,5,47,4,4,3,4,3,2,3,4,3,2,3,4,4,4
25seas,Player_4,2,2,44,4,3,2,3,4,3,3,4,4,2,3,3,3,3
25seas,Player_19,1,11,53,6,5,3,3,4,4,3,3,4,4,3,4,3,4
25seas,Player_28,3,12,54,4,3,4,3,5,5,3,4,5,2,4,6,3,3
25seas,Player_17,1,3,45,3,4,2,2,4,4,2,4,4,4,3,4,2,3
25seas,Player_20,2,4,46,4,4,2,4,4,5,3,2,3,3,2,4,4,2
25seas,Player_13,1,6,48,4,5,3,3,4,4,2,4,3,3,3,5,3,2
