division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_9,4,-1,41,3,3,2,2,4,3,3,3,3,2,3,3,4,3
25seas,Player_11,2,0,42,3,3,2,3,4,3,4,2,3,3,4,3,2,3
25seas,Player_17,1,0,42,3,3,3,2,4,3,2,2,3,4,4,3,3,3
25seas,Player_20,4,2,44,3,4,3,5,3,3,3,3,3,2,3,3,3,3
25seas,Player_25,3,4,46,3,4,5,4,3,4,3,2,2,2,4,4,3,3
25seas,Player_38,2,2,44,5,4,4,3,3,3,2,4,3,3,3,3,2,2
25seas,Player_5,3,9,51,5,4,3,3,4,3,3,3,3,3,4,4,5,4
25seas,Player_29,1,11,53,4,5,4,4,6,3,5,2,3,3,4,4,4,2
25seas,Player_39,2,1,43,3,4,3,3,5,3,3,2,3,2,3,4,3,2
25seas,Player_31,5,2,44,4,3,2,3,3,3,4,4,2,3,4,4,2,3
25seas,Player_4,1,2,44,5,3,3,3,3,3,4,3,2,3,3,4,3,2
25seas,Player_41,3,3,45,4,3,4,3,3,3,5,2,3,3,3,3,3,3
25seas,Player_13,2,4,46,3,3,3,4,3,4,3,3,3,4,4,3,3,3
25seas,Player_2,5,6,48,3,3,3,3,6,3,2,3,4,3,3,5,3,4
25seas,Player_34,4,7,49,4,5,3,3,4,4,3,3,3,3,3,4,4,3
25seas,Player_19,3,17,59,3,4,3,4,9,4,5,2,4,3,3,4,5,6
25seas,Player_21,5,12,54,5,5,2,3,5,3,3,4,5,3,3,5,5,3
